ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance
10,SBST,1,1,75009,0
10,SBST,1,2,76059,0.6
10,SBST,1,3,76069,1.1
10,SBST,1,4,96289,2.3
10,SBST,1,5,96109,2.7
10,SBST,1,6,85079,3.3
10,SBST,1,7,85089,3.5
10,SBST,1,8,85069,3.8
10,SBST,1,9,85059,4.1
10,SBST,1,10,85049,4.5
10,SBST,1,11,85039,4.8
10,SBST,1,12,85029,5
10,SBST,1,13,85019,5.2
10,SBST,1,14,94079,5.5
10,SBST,1,15,94069,6.1
10,SBST,1,16,94059,6.4
10,SBST,1,17,94049,6.8
10,SBST,1,18,94089,7
10,SBST,1,19,94039,7.3
10,SBST,1,20,94029,7.7
10,SBST,1,21,94019,7.9
10,SBST,1,22,93099,8.3
10,SBST,1,23,93089,8.8
10,SBST,1,24,93079,9.1
10,SBST,1,25,93069,9.4
10,SBST,1,26,93059,9.8
10,SBST,1,27,92159,10.1
10,SBST,1,28,92149,10.4
10,SBST,1,29,92139,10.7
10,SBST,1,30,92129,11.2
10,SBST,1,31,92119,11.7
10,SBST,1,32,92109,11.9
10,SBST,1,33,92099,12.2
10,SBST,1,34,92161,12.7
10,SBST,1,35,82071,13.1
10,SBST,1,36,81199,13.9
10,SBST,1,37,81189,14.2
10,SBST,1,38,81179,14.7
10,SBST,1,39,80141,15.3
10,SBST,1,40,80219,16
10,SBST,1,41,80169,17.4
10,SBST,1,42,80159,18.1
10,SBST,1,43,02119,18.6
10,SBST,1,44,03019,19.6
10,SBST,1,45,03059,19.9
10,SBST,1,46,03129,20.3
10,SBST,1,47,03217,20.6
10,SBST,1,48,05649,21.5
10,SBST,1,49,14061,21.8
10,SBST,1,50,14071,22.3
10,SBST,1,51,14081,22.7
10,SBST,1,52,14101,23.1
10,SBST,1,53,14141,23.9
10,SBST,1,54,14121,24.2
10,SBST,1,55,14131,24.6
10,SBST,1,56,14151,25.1
10,SBST,1,57,14161,25.5
10,SBST,1,58,14171,25.9
10,SBST,1,59,15141,26.6
10,SBST,1,60,15151,26.9
10,SBST,1,61,15161,27.1
10,SBST,1,62,15191,27.6
10,SBST,1,63,15201,27.9
10,SBST,1,64,15221,28.5
10,SBST,1,65,16201,28.8
10,SBST,1,66,16011,29.1
10,SBST,1,67,16021,29.6
10,SBST,1,68,16031,29.9
10,SBST,1,69,16041,30.1
10,SBST,1,70,16051,30.4
10,SBST,1,71,16061,30.6
10,SBST,1,72,16071,30.8
10,SBST,1,73,16081,31.1
10,SBST,1,74,16009,31.6
10,SBST,2,1,16009,0
10,SBST,2,2,16089,0.4
10,SBST,2,3,16079,0.7
10,SBST,2,4,16069,1
10,SBST,2,5,16059,1.3
10,SBST,2,6,16049,1.5
10,SBST,2,7,16039,1.7
10,SBST,2,8,16029,2
10,SBST,2,9,16019,2.5
10,SBST,2,10,16209,2.7
10,SBST,2,11,15229,3
10,SBST,2,12,15219,3.2
10,SBST,2,13,15209,3.6
10,SBST,2,14,15199,3.9
10,SBST,2,15,15169,4.4
10,SBST,2,16,15159,4.6
10,SBST,2,17,15149,4.9
10,SBST,2,18,14189,5.3
