ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc
118,GAS,1,TRUNK,65009,97009,
118,GAS,2,TRUNK,97009,65009,
118A,GAS,1,TRUNK,65199,96119,
118B,GAS,1,TRUNK,96111,65191,
119,GAS,1,TRUNK,65009,65009,Hougang St 21
12,GAS,1,TRUNK,77009,10499,
12,GAS,2,TRUNK,10499,77009,
12e,GAS,1,EXPRESS,77009,10499,
12e,GAS,2,EXPRESS,10499,77009,
136,GAS,1,TRUNK,54009,65009,
136,GAS,2,TRUNK,65009,54009,
15,GAS,1,TRUNK,77009,77009,Marine Parade Rd
15A,GAS,1,TRUNK,77009,83109,
17,GAS,1,TRUNK,77009,84009,
17,GAS,2,TRUNK,84009,77009,
17A,GAS,1,TRUNK,84009,84591,Bedok Nth Dr
2,GAS,1,TRUNK,99009,10499,
2,GAS,2,TRUNK,10499,99009,
2A,GAS,1,FEEDER,10499,85091,
3,GAS,1,TRUNK,75009,65009,
3,GAS,2,TRUNK,65009,75009,
34,GAS,1,TRUNK,65009,65009,PTB2 Basement
34A,GAS,1,TRUNK,65009,76059,PTB2 Basement
34B,GAS,1,TRUNK,75359,75351,
354,GAS,1,FEEDER,77009,77009,Jln Loyang Besar
358,GAS,1,FEEDER,77009,77009,Pasir Ris Dr 10
359,GAS,1,FEEDER,77009,77009,Pasir Ris St 71
359,GAS,2,FEEDER,77009,77009,Pasir Ris St 71
36,GAS,1,TRUNK,95129,95129,Tomlinson Rd
36A,GAS,1,TRUNK,95129,09191,
36B,GAS,1,TRUNK,93049,93199,
381,GAS,1,FEEDER,65009,65009,Punggol East
382,GAS,1,FEEDER,65009,65009,Sumang Walk
382,GAS,2,FEEDER,65009,65009,Sumang Walk
382A,GAS,1,FEEDER,65009,65531,
382G,GAS,1,FEEDER,65009,65009,Sumang Walk
382W,GAS,1,FEEDER,65009,65009,Sumang Walk
384,GAS,1,FEEDER,65009,65009,Northshore Dr
386,GAS,1,FEEDER,65009,65009,Punggol Ctrl
386A,GAS,1,FEEDER,65009,65371,
3A,GAS,1,TRUNK,75009,77331,
403,GAS,1,TRUNK,77009,77009,Pasir Ris Rd
43,GAS,1,TRUNK,65009,94009,
43,GAS,2,TRUNK,94009,65009,
43e,GAS,1,EXPRESS,65009,92051,
43e,GAS,2,EXPRESS,92059,65009,
43M,GAS,1,TRUNK,65009,65009,S'goon Ctrl
518,GAS,1,EXPRESS,77009,77009,Bayfront Ave
518A,GAS,1,EXPRESS,77009,03519,
6,GAS,1,TRUNK,77009,77009,Loyang Cres
62,GAS,1,TRUNK,65009,65009,Sims Ave
62A,GAS,1,TRUNK,65009,81089,Sims Ave
661,GAS,1,CITY_LINK,78111,03391,
661,GAS,2,CITY_LINK,03539,78119,
666,GAS,1,CITY_LINK,65309,03391,
666,GAS,2,CITY_LINK,03539,65301,
68,GAS,1,TRUNK,77009,77009,Tampines Ctrl 1
68A,GAS,1,TRUNK,75469,75009,
68B,GAS,1,TRUNK,75009,75461,
82,GAS,1,TRUNK,65009,65009,S'goon Ctrl
83,GAS,1,TRUNK,65009,65009,Sengkang Sq
83T,GAS,1,TRUNK,65009,67009,
84,GAS,1,TRUNK,65009,65009,Punggol Rd
85,GAS,1,TRUNK,65009,59009,
85,GAS,2,TRUNK,59009,65009,
85A,GAS,1,TRUNK,59009,67441,
10,SBST,1,TRUNK,75009,16009,
10,SBST,2,TRUNK,16009,75009,
100,SBST,1,TRUNK,66009,11009,
100,SBST,2,TRUNK,11009,66009,
100A,SBST,1,TRUNK,66009,81089,
101,SBST,1,TRUNK,66009,66009,Buangkok Cres
102,SBST,1,TRUNK,64009,64009,Seletar Aerospace Avenue
102A,SBST,1,TRUNK,67409,67991,
103,SBST,1,TRUNK,66009,59009,
103,SBST,2,TRUNK,59009,66009,
105,SBST,1,TRUNK,66009,28009,
105,SBST,2,TRUNK,28009,66009,
105B,SBST,1,TRUNK,28009,17179,
107,SBST,1,TRUNK,64009,03239,
107,SBST,2,TRUNK,03239,64009,
107M,SBST,1,TRUNK,64009,64009,Raffles Blvd
109,SBST,1,TRUNK,66009,99009,
109,SBST,2,TRUNK,99009,66009,
109A,SBST,1,TRUNK,66009,64611,
10e,SBST,1,EXPRESS,85049,03217,
10e,SBST,2,EXPRESS,03222,85041,
11,SBST,1,TRUNK,80009,80009,Rhu Cross
111,SBST,1,TRUNK,11009,11009,Temasek Ave
112,SBST,1,TRUNK,64009,64009,Hougang St 92
112A,SBST,1,TRUNK,64009,63031,
113,SBST,1,TRUNK,64009,64009,Upp Paya Lebar Rd
113A,SBST,1,TRUNK,63039,63031,Upp Paya Lebar Rd
114,SBST,1,TRUNK,67601,67609,Buangkok Cres
114A,SBST,1,TRUNK,67601,66579,Buangkok Cres
115,SBST,1,TRUNK,63221,63221,Hougang Ave 3
116,SBST,1,TRUNK,64009,64009,S'goon Ctrl
116A,SBST,1,TRUNK,66439,66359,
117,SBST,1,TRUNK,65009,58009,
117,SBST,2,TRUNK,58009,65009,
117A,SBST,1,TRUNK,59479,59041,
117M,SBST,1,TRUNK,65009,58009,
117M,SBST,2,TRUNK,58009,65009,
120,SBST,1,TRUNK,10499,10499,Telok Blangah Hts
121,SBST,1,TRUNK,10499,10499,Telok Blangah Rise
122,SBST,1,TRUNK,10499,10499,C'wealth Dr
123,SBST,1,TRUNK,10009,14539,
123,SBST,2,TRUNK,14539,10009,
123M,SBST,1,TRUNK,14009,14009,Tiong Bahru Rd
124,SBST,1,TRUNK,52499,14009,
124,SBST,2,TRUNK,14009,52499,
125,SBST,1,TRUNK,52499,52499,Sims Dr
125A,SBST,1,TRUNK,81081,60219,
127,SBST,1,TRUNK,75009,75009,Tampines Ind Ave 5
127A,SBST,1,TRUNK,75009,75519,
129,SBST,1,TRUNK,74009,52499,
129,SBST,2,TRUNK,52499,74009,
13,SBST,1,TRUNK,55509,94009,
13,SBST,2,TRUNK,94009,55509,
130,SBST,1,TRUNK,54009,03239,
130,SBST,2,TRUNK,03239,54009,
131,SBST,1,TRUNK,52499,10009,
131,SBST,2,TRUNK,10009,52499,
131A,SBST,1,TRUNK,52499,03217,
132,SBST,1,TRUNK,64009,10009,
132,SBST,2,TRUNK,10009,64009,
133,SBST,1,TRUNK,54009,03239,
133,SBST,2,TRUNK,03239,54009,
134,SBST,1,TRUNK,80289,80289,Marine Terr
135,SBST,1,TRUNK,54009,83321,
135,SBST,2,TRUNK,83321,54009,
137,SBST,1,TRUNK,80289,94009,
137,SBST,2,TRUNK,94009,80289,
137A,SBST,1,TRUNK,84031,84451,
138,SBST,1,TRUNK,54009,54009,Mandai Lake Rd
138A,SBST,1,TRUNK,54009,48131,Mandai Lake Rd
138B,SBST,1,TRUNK,54009,55121,
139,SBST,1,TRUNK,52009,10009,
139,SBST,2,TRUNK,10009,52009,
139A,SBST,1,TRUNK,52009,52109,
13A,SBST,1,TRUNK,54019,53231,
14,SBST,1,TRUNK,84009,17009,
14,SBST,2,TRUNK,17009,84009,
140,SBST,1,TRUNK,80009,80009,St. Wilfred Rd
141,SBST,1,TRUNK,80009,52009,
141,SBST,2,TRUNK,52009,80009,
142,SBST,1,TRUNK,52009,52009,Potong Pasir Ave 1
142A,SBST,1,TRUNK,52009,60209,Potong Pasir Ave 1
145,SBST,1,TRUNK,52009,11379,
145,SBST,2,TRUNK,11379,52009,
145A,SBST,1,TRUNK,10209,14249,
147,SBST,1,TRUNK,64009,17009,
147,SBST,2,TRUNK,17009,64009,
147A,SBST,1,TRUNK,64009,05019,
14A,SBST,1,TRUNK,84009,09059,
14e,SBST,1,EXPRESS,84211,09048,
14e,SBST,2,EXPRESS,09048,84219,
150,SBST,1,TRUNK,82009,82009,Marine Terr
151,SBST,1,TRUNK,64009,16009,
151,SBST,2,TRUNK,16009,64009,
153,SBST,1,TRUNK,10009,64009,
153,SBST,2,TRUNK,64009,10009,
154,SBST,1,TRUNK,22009,82009,
154,SBST,2,TRUNK,82009,22009,
154A,SBST,1,TRUNK,21551,28091,
154B,SBST,1,TRUNK,22009,12101,
155,SBST,1,TRUNK,52009,84009,
155,SBST,2,TRUNK,84009,52009,
156,SBST,1,TRUNK,67009,17009,
156,SBST,2,TRUNK,17009,67009,
157,SBST,1,TRUNK,52009,22009,
157,SBST,2,TRUNK,22009,52009,
158,SBST,1,TRUNK,66009,66009,Rhu Cross
158A,SBST,1,TRUNK,81089,81081,Rhu Cross
159,SBST,1,TRUNK,67009,52009,
159,SBST,2,TRUNK,52009,67009,
159A,SBST,1,TRUNK,67009,54399,
159B,SBST,1,TRUNK,54391,54481,
16,SBST,1,TRUNK,84009,10009,
16,SBST,2,TRUNK,10009,84009,
160,SBST,1,TRUNK,28009,28009,Jln Jim Quee
160A,SBST,1,TRUNK,28009,43671,
160M,SBST,1,TRUNK,28009,28009,Bt Batok Rd
161,SBST,1,TRUNK,64009,46009,
161,SBST,2,TRUNK,46009,64009,
162,SBST,1,TRUNK,55509,03239,
162,SBST,2,TRUNK,03239,55509,
162M,SBST,1,TRUNK,55509,55509,Temasek Ave
163,SBST,1,TRUNK,67009,52009,
163,SBST,2,TRUNK,52009,67009,
163A,SBST,1,TRUNK,67009,67651,
165,SBST,1,TRUNK,64009,17009,
165,SBST,2,TRUNK,17009,64009,
166,SBST,1,TRUNK,54009,17009,
