BusStopCode,Description,Latitude,Longitude,Location
01012,Hotel Grand Pacific,1.29684825487647,103.85253591654006,01012 Hotel Grand Pacific
01013,St. Joseph's Ch,1.29770970610083,103.8532247463225,01013 St. Joseph's Ch
01019,Bras Basah Cplx,1.29698951191332,103.85302201172507,01019 Bras Basah Cplx
01029,Opp Natl Lib,1.2966729849642,103.85441422464267,01029 Opp Natl Lib
01039,Bugis Cube,1.29820784139683,103.85549139837407,01039 Bugis Cube
01059,Bugis Stn Exit B,1.30075679526626,103.85611040457583,01059 Bugis Stn Exit B
01109,Queen St Ter,1.30358577565355,103.85650372998224,01109 Queen St Ter
01112,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,01112 Opp Bugis Stn Exit C
01113,Bugis Stn Exit A,1.30117297541547,103.8561140106393,01113 Bugis Stn Exit A
01119,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571,01119 Aft Bugis Stn Exit C
01121,Stamford Pr Sch,1.30393809691048,103.85867999243207,01121 Stamford Pr Sch
01129,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491,01129 Opp Stamford Pr Sch
01139,Parkview Sq,1.30033057855542,103.85716080665901,01139 Parkview Sq
01211,Opp Blk 461,1.30551803523268,103.8605449516032,01211 Opp Blk 461
01219,Blk 461,1.30526598535719,103.86072019914616,01219 Blk 461
01229,Bef Sultan Mque,1.30337552638813,103.85963089198265,01229 Bef Sultan Mque
01231,Opp Textile Ctr,1.3032499999752,103.8610830559663,01231 Opp Textile Ctr
01239,Sultan Plaza,1.30291236608351,103.86161817611134,01239 Sultan Plaza
01311,Lavender Stn Exit B,1.3070916463394,103.86219695240973,01311 Lavender Stn Exit B
01319,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,01319 Lavender Stn Exit A/ICA
01329,"Blk 8, North Bridge",1.30495670239172,103.86363028484124,"01329 Blk 8, North Bridge"
01339,Bef Crawford Bridge,1.30774601733202,103.8642627465441,01339 Bef Crawford Bridge
01341,Southbank,1.30647555600578,103.86452527798744,01341 Southbank
01349,Opp Blk 4,1.30568635716829,103.86543994417883,01349 Opp Blk 4
01411,Opp St. John HQ,1.30211332865049,103.86295598167331,01411 Opp St. John HQ
01419,St. John HQ,1.3020199999911,103.86326333301203,01419 St. John HQ
01421,Opp Golden Mile Cplx,1.30338444400173,103.86483888898641,01421 Opp Golden Mile Cplx
01429,Golden Mile Cplx,1.3032136089394,103.86501584807763,01429 Golden Mile Cplx
01511,Opp The Gateway,1.29919826103807,103.85864518302436,01511 Opp The Gateway
01519,The Gateway,1.29907492488417,103.8589102973441,01519 The Gateway
01521,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194,01521 Opp Plaza Parkroyal
01529,Plaza Parkroyal,1.30041667676526,103.86044115259938,01529 Plaza Parkroyal
01541,Bugis Stn Exit D,1.29886465442254,103.85734583628746,01541 Bugis Stn Exit D
01549,Opp Duo Residences,1.30069868861162,103.85873120467069,01549 Opp Duo Residences
01559,Landmark Village Hotel,1.30168731070562,103.85752923961614,01559 Landmark Village Hotel
01611,Aft Raffles Hotel,1.29527259171342,103.85533686181174,01611 Aft Raffles Hotel
01619,Esplanade Stn Exit F,1.29428694178246,103.85503809424233,01619 Esplanade Stn Exit F
01621,Opp Shaw Twrs,1.29695888888745,103.85655611109846,01621 Opp Shaw Twrs
01629,Shaw Twrs,1.297085,103.856894,01629 Shaw Twrs
01631,Aft Beach Rd,1.29693614589482,103.85580555528077,01631 Aft Beach Rd
01639,Bef Beach Rd,1.29738750001468,103.85557583297624,01639 Bef Beach Rd
02029,Aft Esplanade Stn Exit D,1.290106,103.85464,02029 Aft Esplanade Stn Exit D
02049,Raffles Hotel,1.29452091230981,103.85402155505173,02049 Raffles Hotel
02051,The Float @ Marina Bay,1.2895030556082,103.85903388899317,02051 The Float @ Marina Bay
02061,The Esplanade,1.2899638888957,103.85640388886262,02061 The Esplanade
02089,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504,02089 Promenade Stn/Pan Pacific
02099,Marina Ctr Ter,1.29147264805943,103.86148558380779,02099 Marina Ctr Ter
02101,Aft S'pore Flyer,1.28938483786533,103.86183148116275,02101 Aft S'pore Flyer
02111,Esplanade Bridge,1.29095592348389,103.85453419435228,02111 Esplanade Bridge
02119,Opp War Memorial Pk,1.29184407356581,103.85534334305085,02119 Opp War Memorial Pk
02141,Suntec Twr Two,1.29576571603037,103.85933814632858,02141 Suntec Twr Two
02149,Suntec Twr Three,1.29560459817725,103.85955533029184,02149 Suntec Twr Three
02151,Suntec Convention Ctr,1.29317776320814,103.85784623004031,02151 Suntec Convention Ctr
02159,Opp Suntec Convention Ctr,1.29360811227161,103.85840672828635,02159 Opp Suntec Convention Ctr
02161,Promenade Stn,1.29268553508737,103.86093156188176,02161 Promenade Stn
02169,Promenade Stn Exit B,1.29333836780589,103.86070849052753,02169 Promenade Stn Exit B
02171,Opp The Ritz-Carlton,1.29070000003898,103.86092194446034,02171 Opp The Ritz-Carlton
02181,Supreme Ct,1.28947444402148,103.85098166700017,02181 Supreme Ct
03011,Fullerton Sq,1.28561840945474,103.85342223246427,03011 Fullerton Sq
03019,OUE Bayfront,1.284245000013,103.85310805599599,03019 OUE Bayfront
03021,Prudential Twr,1.28255524603003,103.84998903789258,03021 Prudential Twr
03031,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066,03031 Raffles Pl Stn Exit F
03041,Telok Ayer Stn Exit A,1.28179509394707,103.84893207391676,03041 Telok Ayer Stn Exit A
03059,One Raffles Quay,1.281111,103.851461,03059 One Raffles Quay
03071,OPP SO SOFITEL S'PORE,1.27990609626764,103.84940030424481,03071 OPP SO SOFITEL S'PORE
03111,Aft Capital Twr,1.2778259536079,103.8481011719729,03111 Aft Capital Twr
03129,UIC Bldg,1.27807003532092,103.84956718123823,03129 UIC Bldg
03151,Opp GB Bldg,1.27892124625262,103.84776234627124,03151 Opp GB Bldg
03217,Opp AXA Twr,1.27552218897645,103.8479443674916,03217 Opp AXA Twr
03218,Opp MAS Bldg,1.2740788888387,103.84687388890413,03218 Opp MAS Bldg
03222,Hub Synergy Pt,1.27397836925637,103.84489562922414,03222 Hub Synergy Pt
03223,Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952,03223 Tanjong Pagar Stn Exit C
03239,Shenton Way Ter,1.27464226961973,103.84756721372408,03239 Shenton Way Ter
03241,Mapletree Anson,1.27456,103.84537,03241 Mapletree Anson
03331,Bef Marina Gdns Dr,1.27663307202767,103.86076808024792,03331 Bef Marina Gdns Dr
03339,Aft Marina Gdns Dr,1.27498516412784,103.85950016250487,03339 Aft Marina Gdns Dr
03341,Bef Gdns by the Bay,1.27959780011944,103.8643376844082,03341 Bef Gdns by the Bay
03349,Aft Gdns by the Bay,1.27965600609923,103.8647780795552,03349 Aft Gdns by the Bay
03361,GARDENS BY THE BAY STN EXIT 2,1.279917,103.868895,03361 GARDENS BY THE BAY STN EXIT 2
03369,GARDENS BY THE BAY STN EXIT 1,1.27960772061959,103.8698744774074,03369 GARDENS BY THE BAY STN EXIT 1
03371,Gdns by the Bay,1.28066479303461,103.86626955523418,03371 Gdns by the Bay
03381,The Sail,1.28162601329006,103.85306513725685,03381 The Sail
03391,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988,03391 Marina Bay Financial Ctr
03411,Opp Marina Sth Pier Stn,1.27159299884076,103.86300900488229,03411 Opp Marina Sth Pier Stn
03419,Marina Sth Pier Stn,1.27127698470973,103.86297693157816,03419 Marina Sth Pier Stn
03421,Marina Bay Cruise Ctr,1.26694090294712,103.85964778134667,03421 Marina Bay Cruise Ctr
03501,Marina Bay Sands Theatre,1.28500467671367,103.8606110538643,03501 Marina Bay Sands Theatre
03509,Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891767,03509 Bayfront Stn Exit B/MBS
03511,Aft Bayfront Stn Exit E,1.28194779470571,103.85897064872482,03511 Aft Bayfront Stn Exit E
03519,Bayfront Stn Exit A,1.28124500000125,103.85884799997385,03519 Bayfront Stn Exit A
03529,Downtown Stn,1.27939957419063,103.85278769921703,03529 Downtown Stn
03539,Marina Bay Stn,1.2775330547661,103.85561610012866,03539 Marina Bay Stn
03549,Shenton Way Stn Exit 3,1.277728,103.85045,03549 Shenton Way Stn Exit 3
03579,Opp Downtown Stn,1.278832,103.852918,03579 Opp Downtown Stn
04019,OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305783,04019 OPP BENCOOLEN STN EXIT B
04029,BEF BENCOOLEN STN EXIT A,1.29948166696821,103.85092666701239,04029 BEF BENCOOLEN STN EXIT A
04111,Capitol Bldg,1.29395444170081,103.85139096636622,04111 Capitol Bldg
04121,SMU,1.29618544092334,103.84958029974611,04121 SMU
04142,Armenian Ch,1.2930982644668,103.84965994500728,04142 Armenian Ch
04143,Stamford Ct,1.29411640848293,103.85020606905503,04143 Stamford Ct
04149,Grand Pk City Hall,1.29276132399953,103.84983741344308,04149 Grand Pk City Hall
04151,Cath Of The Good Shepherd,1.29533777799211,103.85113972198121,04151 Cath Of The Good Shepherd
04159,Aft Chijmes,1.29489484954945,103.85108138663934,04159 Aft Chijmes
04167,City Hall Stn Exit B,1.29250006522444,103.85145315468638,04167 City Hall Stn Exit B
04168,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256,04168 Aft City Hall Stn Exit B
04179,Aft Bras Basah Stn Exit A,1.29647916306741,103.85147164487202,04179 Aft Bras Basah Stn Exit A
04211,Clarke Quay,1.29043611099357,103.84712444398055,04211 Clarke Quay
04219,Opp Clarke Quay,1.29096802754795,103.84686777836987,04219 Opp Clarke Quay
04222,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569,04222 Clarke Quay Stn Exit E
04223,Old Hill St Police Stn,1.29084476137495,103.84857901022669,04223 Old Hill St Police Stn
04229,High St Ctr,1.29044830830726,103.84875123545265,04229 High St Ctr
04239,Opp Clarke Quay Stn,1.28882717929599,103.8474938118651,04239 Opp Clarke Quay Stn
04249,Opp The Treasury,1.29043039362749,103.85026216508201,04249 Opp The Treasury
04251,Opp High St Ctr,1.28973833297563,103.84888472198024,04251 Opp High St Ctr
04311,Aft River Valley Rd,1.29464575337351,103.8439214229312,04311 Aft River Valley Rd
04321,UE Sq,1.2921400077773,103.84303646191061,04321 UE Sq
04329,Opp UE Sq,1.29197057108024,103.84328384973516,04329 Opp UE Sq
04331,BEF FORT CANNING STN,1.29183939431601,103.84504089382705,04331 BEF FORT CANNING STN
04339,FORT CANNING STN EXIT B,1.29221099996741,103.84500500002959,04339 FORT CANNING STN EXIT B
05012,Bef Pearl'S Hill Terr,1.28154583300728,103.84087722199499,05012 Bef Pearl'S Hill Terr
05013,Chinatown Stn Exit C,1.28406979945936,103.84299874303983,05013 Chinatown Stn Exit C
05019,Aft Duxton Plain Pk,1.28118388885484,103.84105000000471,05019 Aft Duxton Plain Pk
05022,Aft Chinatown Stn Exit D,1.28571089865595,103.84437203405348,05022 Aft Chinatown Stn Exit D
05023,Opp Hong Lim Pk,1.28692928357498,103.84540375642477,05023 Opp Hong Lim Pk
05029,Boat Quay,1.28712283362119,103.84819780822524,05029 Boat Quay
05039,New Bridge Ctr,1.28293819129834,103.84254276754574,05039 New Bridge Ctr
05049,Chinatown Stn Exit E,1.28531114761754,103.84455070696784,05049 Chinatown Stn Exit E
05059,Hong Lim Pk,1.28676420118491,103.84575036447065,05059 Hong Lim Pk
05069,OUTRAM PK STN EXIT 4,1.28027629959632,103.84029791443083,05069 OUTRAM PK STN EXIT 4
05129,Opp One Upp Pickering,1.28601166699569,103.84634666701143,05129 Opp One Upp Pickering
05131,Opp Hong Lim Cplx,1.284073056,103.8453381,05131 Opp Hong Lim Cplx
05189,Opp Sri Mariamman Tp,1.2820913960391,103.84528061446953,05189 Opp Sri Mariamman Tp
05199,Opp Hong Lim Cplx,1.28451455846092,103.84666049314171,05199 Opp Hong Lim Cplx
05239,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013,05239 Bef The Pinnacle@Duxton
05241,Opp Blk 333,1.28071988238536,103.84227488654868,05241 Opp Blk 333
05259,OPP MAXWELL STN EXIT 3,1.27979447837032,103.84262707605177,05259 OPP MAXWELL STN EXIT 3
05269,MAXWELL STN EXIT 2,1.280894,103.844567,05269 MAXWELL STN EXIT 2
05271,Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122,05271 Opp Fairfield Meth Ch
05319,OCBC Ctr,1.284437,103.849114,05319 OCBC Ctr
05411,Tg Pagar Plaza,1.27519165673078,103.84309190393883,05411 Tg Pagar Plaza
05419,The Amara,1.27470669455555,103.84318683838887,05419 The Amara
05421,Aft Craig Rd,1.27777470568529,103.84346347289251,05421 Aft Craig Rd
05429,Bef Craig Rd,1.27769413050075,103.84370654372525,05429 Bef Craig Rd
05431,TOWER 15,1.27408,103.8420461,05431 TOWER 15
05519,Blk 1G,1.27553472200739,103.84112694400494,05519 Blk 1G
05521,Maritime Hse,1.27676861098316,103.84059222200347,05521 Maritime Hse
05629,Opp Southpoint,1.273211389,103.84187,05629 Opp Southpoint
05631,Blk 16,1.27346055934188,103.84034718190608,05631 Blk 16
05641,Bef Cantonment Rd,1.27272393115133,103.84140618785226,05641 Bef Cantonment Rd
05649,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094,05649 Opp Customs Port Br HQ
05651,Opp Fuji Xerox Twrs,1.273218611,103.8430731,05651 Opp Fuji Xerox Twrs
06011,OUTRAM PK STN EXIT 7,1.28165999996967,103.83801388886192,06011 OUTRAM PK STN EXIT 7
06029,OUTRAM PK STN EXIT 1,1.28177041153491,103.8383828488293,06029 OUTRAM PK STN EXIT 1
06031,Opp Blk 13 Chin Swee Rd,1.28607055552165,103.83879166662209,06031 Opp Blk 13 Chin Swee Rd
06039,"Blk 8, Chin Swee Rd",1.28705997883119,103.83962555611693,"06039 Blk 8, Chin Swee Rd"
06049,BEF OUTRAM FLYOVER,1.28474856880259,103.83517705055233,06049 BEF OUTRAM FLYOVER
06051,Blk 55,1.28475980959972,103.83405671725487,06051 Blk 55
06069,Aft Furama RiverFront,1.28623157720487,103.83496162445665,06069 Aft Furama RiverFront
06071,HAVELOCK STN EXIT 2,1.28685859481289,103.83360028266564,06071 HAVELOCK STN EXIT 2
06081,HAVELOCK STN EXIT 3,1.28837086415387,103.83349881780524,06081 HAVELOCK STN EXIT 3
06129,Grand Copthorne Hotel,1.29078162052352,103.83440916705554,06129 Grand Copthorne Hotel
06131,Aft Blk 87,1.29152472200833,103.83222750001508,06131 Aft Blk 87
06141,HAVELOCK STN EXIT 5,1.28963300933974,103.83381241921823,06141 HAVELOCK STN EXIT 5
06149,HAVELOCK STN EXIT 4,1.28984045728104,103.83411526676929,06149 HAVELOCK STN EXIT 4
06151,Hotel Miramar,1.28870976841461,103.83737276969174,06151 Hotel Miramar
06159,Opp Hotel Miramar,1.28909385421188,103.8368794036018,06159 Opp Hotel Miramar
06161,Blk 2,1.28901705678419,103.83994286096711,06161 Blk 2
06169,River Pl Condo,1.28937078931125,103.83998944937589,06169 River Pl Condo
06171,Opp State Ct,1.286101944,103.8425356,06171 Opp State Ct
06189,Ctrl Sq,1.28779136477868,103.84329428089559,06189 Ctrl Sq
07011,Peace Ctr,1.30099699058522,103.8498101874305,07011 Peace Ctr
07021,Selegie Ctr,1.30324521574524,103.84995776766847,07021 Selegie Ctr
07031,Tekka Ctr,1.30572083298412,103.85120583303191,07031 Tekka Ctr
07111,Broadway Hotel,1.30879366465919,103.8531751994068,07111 Broadway Hotel
07211,Aft Farrer Pk Stn Exit G,1.31313747728456,103.8563561439714,07211 Aft Farrer Pk Stn Exit G
07221,Sri Vadapathira K Tp,1.314966,103.857819,07221 Sri Vadapathira K Tp
07231,Bef Tai Hoe Hotel,1.309658889,103.8573711,07231 Bef Tai Hoe Hotel
07241,Bef S'Goon Rd,1.31557142083242,103.85900616698896,07241 Bef S'Goon Rd
07249,Aft Kempas Rd,1.315368056,103.8594669,07249 Aft Kempas Rd
07319,Aft Allenby Rd,1.31038833299803,103.85870666696984,07319 Aft Allenby Rd
07329,Hoa Nam Bldg,1.31284472583438,103.85989088288474,07329 Hoa Nam Bldg
