Start,End ,Duration
Bukit Panjang,Cashew,2
Cashew,Hillview,2
Hillview,Beauty World,3
Beauty World,King Albert Park,2
King Albert Park,Sixth Avenue,2
Sixth Avenue,Tan Kah Kee,2
Tan Kah Kee,Botanic Gardens,2
Botanic Gardens,Stevens,2
Stevens,Newton,2
Newton,Little India,3
Little India,Rochor,1
Rochor,Bugis,2
Bugis,Promenade,2
Promenade,Bayfront,2
Bayfront,Downtown,2
Downtown,Telok Ayer,1
Telok Ayer,Chinatown,2
Chinatown,Fort Canning,2
Fort Canning,Bencoolen,2
Bencoolen,Jalan Besar,1
Jalan Besar,Bendemeer,2
Bendemeer,Geylang Bahru,2
Geylang Bahru,Mattar,2
Mattar,MacPherson,2
MacPherson,Ubi,2
Ubi,Kaki Bukit,2
Kaki Bukit,Bedok North,2
Bedok North,Bedok Reservoir,2
Bedok Reservoir,Tampines West,3
Tampines West,Tampines,2
Tampines,Tampines East,2
Tampines East,Upper Changi,3
Upper Changi,Expo,2
HarbourFront,Outram Park,4
Outram Park,Chinatown,1
Chinatown,Clarke Quay,2
Clarke Quay,Dhoby Ghaut,3
Dhoby Ghaut,Little India,1
Little India,Farrer Park,1
Farrer Park,Boon Keng,2
Boon Keng,Potong Pasir,3
Potong Pasir,Woodleigh,1
Woodleigh,Serangoon,2
Serangoon,Kovan,3
Kovan,Hougang,2
Hougang,Buangkok,2
Buangkok,Sengkang,2
Sengkang,Punggol,3
Punggol,Cove,3
Cove,Meridian,1
Meridian,Coral Edge,1
Coral Edge,Riviera,1
Riviera,Kadaloor,1
Kadaloor,Oasis,1
Oasis,Damai,1
Damai,Punggol,2
Punggol,Sam Kee,2
Sam Kee,Teck Lee ,1
Teck Lee ,Punggol Point,1
Punggol Point,Samudera,1
Samudera,Nibong,1
Nibong,Sumang,1
Sumang,Soo Teck,1
Soo Teck,Punggol,3
Sengkang,Compassvale,2
Compassvale,Rumbia,1
Rumbia,Bakau,1
Bakau,Kangkar,1
Kangkar,Ranggung,2
Ranggung,Sengkang,3
Sengkang,Cheng Lim,2
Cheng Lim,Farmway,1
Farmway,Kupang,1
Kupang,Thanggam,1
Thanggam,Fernvale,1
Fernvale,Layar,1
Layar,Tongkang,1
Tongkang,enjong,1
enjong,Sengkang,3
